name,lat,long
Bunyaruguru Field,-0.2,30.08
"Burney, Monte",-52.33,-73.4
Bus-Obo,47.12,109.08
Butajiri-Silti Field,8.05,38.35
Buzzard Creek,64.07,-148.42
Cabalian,10.287,125.22
Caburga,-39.2,-71.83
Cagua,18.222,122.123
Calabozos,-35.558,-70.496
Calatrava Volc Field,38.867,-4.017
Calayo,7.877,125.068
Calbuco,-41.326,-72.614
Callaqui,-37.92,-71.45
"Cameroon, Mt.",4.203,9.17
Camiguin,9.203,124.673
Camiguin de Babuyanes,18.83,121.86
Campi Flegrei,40.827,14.139
Campi Flegrei Mar Sicilia,37.1,12.7
Candlemas Island,-57.08,-26.67
Carlisle,52.9,-170.05
Carran-Los Venados,-40.35,-72.07
Carrizozo,33.78,-105.93
"Casiri, Nevados",-17.47,-69.82
Cayambe,0.029,-77.986
Cayambe,0.029,-77.986
Cayute-La Vigueria,-41.25,-72.27
Cayutué-La Viguería,-41.25,-72.267
Ceboruco,21.125,-104.508
"Cendres, Ile des",10.158,109.014
Central Island,3.5,36.042
Cereme,-6.892,108.4
Ch'uga-ryong,38.33,127.33
Chacana,-0.375,-78.25
"Chachani, Nevado",-16.191,-71.53
"Chachani, Nevado",-16.191,-71.53
Chagulak,52.57,-171.13
Chaine des Puys,45.775,2.967
Chaiten,-42.833,-72.646
Changbaishan,41.98,128.08
"Chapulul, Cerro",-38.37,-71.08
Cherny,56.82,159.67
Cherpuk Group,55.55,157.467
Chichinautzin,19.08,-99.13
"Chichon, El",17.36,-93.228
Chiginagak,57.13,-157
Chikurachki,50.325,155.458
Chiliques,-23.583,-67.7
Chiliques,-23.58,-67.7
"Chillan, Nevados de",-36.863,-71.377
Chimborazo,-1.464,-78.815
Chinameca,13.475,-88.32
Chingo Volc Field,14.12,-89.73
Chiquimula Volc Field,14.83,-89.55
Chiracha,6.65,38.12
Chirinkotan,48.98,153.48
Chirip,45.38,147.92
Chirpoi,46.525,150.875
Chokai,39.08,140.03
Chyulu Hills,-2.68,37.88
"Ciguatepe, Cerro El",12.53,-86.142
Cinnamon Butte,43.241,-122.108
"Cinotepec, Cerro",14.02,-89.25
Clark,-36.446,177.839
Clear Lake,38.97,-122.77
Cleft Segment,44.83,-130.3
Cleveland,52.82,-169.95
Coatepeque Caldera,13.87,-89.55
"Cochons, Ile Aux",-46.1,50.23
Cofre de Perote,19.492,-97.15
Colachi,-23.23,-67.65
Coleman Seamount,-8.83,157.17
Colima,19.514,-103.62
"Colluma, Cerro",-18.5,-68.07
Colo [Una Una],-0.17,121.608
Comondu-La Purisima,26,-111.92
Concepcion,11.538,-85.622
Conchagua,13.277,-87.853
Conchaguita,13.22,-87.765
"Cook, Isla",-54.95,-70.27
Copahue,-37.85,-71.17
Copiapo,-27.3,-69.13
Corbetti Caldera,7.18,38.43
Corcovado,-43.18,-72.8
Cordon Chalviri,-23.85,-67.62
Cordon de Puntas Negras,-23.75,-67.53
Cordon del Azufre,-25.33,-68.52
Coronado,29.08,-113.513
Coropuna,-15.52,-72.65
Corvo,39.67,-31.07
Cosiguina,12.98,-87.57
Coso Volc Field,36.03,-117.82
Cotopaxi,-0.677,-78.436
Crater Basalt Volc Field,-42.017,-70.183
Crater Lake,42.93,-122.12
Crater Mountain,-6.58,145.08
Craters of the Moon,43.42,-113.5
Crow Lagoon,54.7,-130.23
Cu-Lao Re Group,15.38,109.12
Cuicocha,0.308,-78.364
Cuilapa-Barbarena,14.33,-90.4
Cuilapa-Barbarena,14.333,-90.4
Cumbal,0.98,-77.88
"Cumbres, Las",19.15,-97.27
Curacoa,-15.62,-173.67
Curacoa,-15.617,-173.667
Curtis Island,-30.542,-178.561
"Cóndor, Cerro el",-26.617,-68.35
Dabbahu,12.6,40.48
Dabbayra,12.38,40.07
Dacht-I-Navar Group,33.95,67.92
Daikoku,21.324,144.194
Daisetsu,43.68,142.88
Dakataua,-5.056,150.108
Dalaffilla,13.792,40.55
Dallol,14.242,40.3
Dama Ali,11.28,41.63
Damavand,35.951,52.109
Dana,55.62,-161.22
Danau Complex,-6.2,105.97
Dar-Alages,39.7,45.542
Dariganga Volc Field,45.33,114
"Darwin, Volcan",-0.18,-91.28
"Daun, Bukit",-3.38,102.37
Davidof,51.97,178.33
Davis Lake,43.57,-121.82
Dawson Strait Group,-9.62,150.88
Deception Island,-62.97,-60.65
Demon,45.5,148.85
Dempo,-4.03,103.13
Denison,58.42,-154.45
Descabezado Grande,-35.58,-70.75
Devils Garden,43.512,-120.861
Dgida Basin,50.52,103.25
"Dhamar, Harras of",14.57,44.67
"Diable, Morne Au",15.62,-61.45
"Diablotins, Morne",15.5,-61.42
Diamond Craters,43.1,-118.75
Didicas,19.077,122.202
Dieng Volc Complex,-7.2,109.92
Diky Greben,51.43,157
Dofen,9.35,40.13
Doma Peaks,-5.9,143.15
Domuyo,-36.63,-70.42
Don Joao de Castro Bank,38.23,-26.63
Dona Juana,1.47,-76.92
Dotsero,39.65,-107.03
Douglas,58.87,-153.55
Doyo Seamount,27.683,140.8
Dubbi,13.58,41.808
Dukono,1.68,127.88
Duncan Canal,56.5,-133.1
Durango Volc Field,24.15,-104.45
Dutton,55.18,-162.27
Dzenzursky,53.637,158.922
E-san,41.8,141.17
Eagle Lake Field,40.63,-120.83
Easter Island,-27.15,-109.383
Eastern Gemini Seamount,-20.98,170.28
Ebeko,50.68,156.02
Ebulobo,-8.808,121.18
"Eburru, Ol Doinyo",-0.63,36.23
"Ecuador, Volcan",-0.02,-91.546
Edgecumbe,57.05,-135.75
Edziza,57.72,-130.63
Eggella,56.57,158.52
Egmont,-39.3,174.07
Egon,-8.67,122.45
Ekarma,48.958,153.93
Elbrus,43.33,42.45
Elmenteita Badlands,-0.52,36.27
Elovsky,57.53,160.53
Emmons Lake,55.33,-162.07
Emperor of China,-6.62,124.22
Emuruangogolak,1.5,36.33
Endeavour Ridge,47.95,-129.1
Epi,-16.68,168.37
Erciyes Dagi,38.52,35.48
Erebus,-77.53,167.17
Erta Ale,13.6,40.67
Es Safa,33.08,37.15
Escanaba Segment,40.983,-127.5
"Escorial, Cerro",-25.08,-68.37
Esjufjoll,64.27,-16.65
Esmeralda Bank,15,145.25
Espenberg,66.35,-164.33
"Est, Ile de l'",-46.43,52.2
Esteli,13.17,-86.4
Etna,37.734,15.004
Eyjafjallajokull,63.63,-19.62
Falcon Island,-20.32,-175.42
Farallon de Pajaros,20.53,144.9
Fayal,38.6,-28.73
Fedotych,57.13,160.4
Fentale,8.975,39.93
Fernandina,-0.37,-91.55
"Firura, Nevados",-15.23,-72.63
Fisher,54.67,-164.35
Flores,39.4,-31.17
Flores,14.3,-90
Fogo,14.95,-24.35
Fonualei,-18.02,-174.325
Forecast Seamount,13.4,143.917
Fort Portal Field,0.7,30.25
Fort Selkirk,62.93,-137.38
Four Craters Lava Field,43.361,-120.669
"Fournaise, Piton de la",-21.229,55.713
Fourpeaked,58.77,-153.68
Fremrinamur,65.43,-16.65
Frosty,55.07,-162.82
Fuego,14.473,-90.88
Fuerteventura,28.358,-14.02
Fuji,35.35,138.73
Fukue-jima,32.653,128.851
Fukujin,21.925,143.442
Fukutoku-okanoba,24.28,141.52
Furnas,37.77,-25.32
Fuss Peak,50.27,155.25
Gabillema,11.08,41.27
Gada Ale,13.975,40.408
Galapagos Rift,0.792,-86.15
Galapagos Rift,0.792,-86.15
Galeras,1.22,-77.37
Gallego,-9.35,159.73
Galunggung,-7.25,108.05
Gamalama,0.8,127.325
Gamchen,54.973,160.702
Gamkonora,1.375,127.52
Garbuna Group,-5.45,150.03
Gareloi,51.78,-178.8
Garibaldi Lake,49.92,-123.03
"Garibaldi, Mt.",49.85,-123
Garove,-4.692,149.5
Garua Harbour,-5.269,150.088
Gaua,-14.27,167.5
Gedamsa Caldera,8.35,39.18
Gede,-6.78,106.98
Genovesa,0.32,-89.958
Geodesistoy,56.33,158.67
Giggenbach,-30.036,-178.713
Girekol,39.17,43.33
Glacier Peak,48.112,-121.113
"Gloria, La",19.33,-97.25
Golden Trout Creek,36.358,-118.32
Golets-Tornyi Group,45.25,148.35
Gollu Dag,38.25,34.57
Golovnin,43.85,145.53
Goodenough,-9.48,150.35
Gordon,62.13,-143.08
Gorely,52.558,158.03
Goriaschaia Sopka,46.83,151.75
Gorny Institute,57.33,160.2
Graciosa,39.02,-27.97
Gran Canaria,28,-15.58
Great Sitkin,52.08,-176.13
Griggs,58.35,-155.1
"Grille, La",-11.47,43.33
Grimsnes,64.03,-20.87
Grimsvotn,64.42,-17.33
Groppo,11.73,40.25
Grozny Group,45.02,147.87
Guadalupe,29.07,-118.28
Guagua Pichincha,-0.171,-78.598
Guallatiri,-18.42,-69.17
Guayaques,-22.88,-67.58
Guazapa,13.9,-89.12
Gufa,12.55,42.53
Guguan,17.32,145.85
Guntur,-7.13,107.83
Gunungapi Wetar,-6.642,126.65
Hachijo-jima,33.13,139.77
Hachimantai,39.95,140.85
Hainan Dao,19.7,110.1
Hakkoda Group,40.65,140.88
Hakone,35.22,139.02
Haku-san,36.15,136.78
Haleakala,20.708,-156.25
Halla,33.37,126.53
Hanish,13.72,42.73
Hargy,-5.33,151.1
"Harrah, Al",31.083,38.417
Haruj,27.25,17.5
Haruna,36.47,138.88
Hasan Dagi,38.13,34.17
Haut Dong Nai,11.6,108.2
Hayes,61.62,-152.48
"Haylan, Jabal",15.43,44.78
Hayli Gubbi,13.5,40.72
Healy,-35.004,178.973
Heard,-53.106,73.513
Heart Peaks,58.6,-131.97
Hekla,63.98,-19.7
Hell's Half Acre,43.5,-112.45
Hengill,64.18,-21.33
Herbert,52.75,-170.12
Hertali,9.78,40.33
Hierro,27.73,-18.03
Hijiori,38.6,140.18
Hiri,0.88,127.32
Hiuchi,36.95,139.28
Hobicha Caldera,6.78,37.83
Hodson,-56.7,-27.15
Hofsjokull,64.78,-18.92
Homa Mountain,-0.38,34.5
Home Reef,-18.992,-174.775
Honggeertu,41.47,113
Hood,45.374,-121.694
Hoodoo Mountain,56.78,-131.28
Hornopiren,-41.874,-72.431
Hromundartindur,64.073,-21.202
Hualalai,19.692,-155.87
Huanquihue Group,-39.87,-71.55
Huaynaputina,-16.608,-70.85
Hudson Mountains,-74.33,-99.42
"Hudson, Cerro",-45.9,-72.97
Huequi,-42.377,-72.578
Huila,2.92,-76.05
Hulubelu,-5.35,104.6
"Humeros, Los",19.68,-97.45
Hunga Tonga-Hunga Ha'apai,-20.57,-175.38
Hunter Island,-22.4,172.05
Hutapanjang,-2.33,101.6
Hutapanjang,-2.333,101.6
Hydrographers Range,-9,148.37
Iamalele,-9.52,150.53
Ibu,1.475,127.642
