name,lat,long
Montagu Island,-58.417,-26.333
"Morning, Mt.",-78.5,163.533
Moti,0.45,127.4
Motlav,-13.67,167.67
Moua Pihaa,-18.32,-148.67
Mousa Alli,12.47,42.4
Moyuta,14.03,-90.1
Muhavura,-1.38,29.67
Mundafell,63.98,-19.7
Mundua,-4.63,149.35
Muria,-6.617,110.883
Musa River,-9.308,148.13
Mutnovsky,52.453,158.195
Myojun Knoll,32.1,139.85
Myoko,36.88,138.12
NW Rota-1,14.601,144.775
Nabro,13.37,41.7
Nabukelevu,-19.117,177.983
Nakano-shima,29.85,129.87
Namarunu,1.9,36.27
Nantai,36.77,139.5
Naolinco Volc Field,19.67,-96.75
Narcondum,13.43,94.25
Narugo,38.73,140.73
Nasu,37.12,139.97
Natib,14.705,120.4
Nazko,52.9,-123.73
Ndete Napu,-8.72,121.78
"Negra, Sierra",-0.83,-91.17
"Negrillar, El",-24.18,-68.25
"Negrillar, La",-24.28,-68.6
"Negro de Mayasquer, Cerro",0.828,-77.964
"Negro, Cerro",12.506,-86.702
Nejapa-Miraflores,12.12,-86.32
Nemo Peak,49.57,154.808
Nemrut Dagi,38.65,42.02
"Nevada, Sierra",-26.48,-68.58
Nevis Peak,17.15,-62.58
Newberry Volcano,43.722,-121.229
Newer Volcanics Prov,-37.77,142.5
Ngaoundere Plateau,7.25,13.67
Ngauruhoe,-39.158,175.63
Ngozi,-8.97,33.57
"Nicholson, Cerro",-16.258,-71.753
Nieuwerkerk,-6.6,124.675
Nightingale Island,-37.417,-12.483
Nii-jima,34.37,139.27
Niigata-Yake-yama,36.92,138.03
Nikko,23.075,142.308
Nikko-Shirane,36.8,139.38
Nila,-6.73,129.5
Nipesotsu-Upepesanke,43.45,143.03
Niseko,42.88,140.63
Nishino-shima,27.274,140.882
Nisyros,36.58,27.18
Niuafo'ou,-15.6,-175.63
Norikura,36.12,137.55
North Gorda Ridge,42.67,-126.78
North Gorda Ridge,42.667,-126.783
North Island,4.07,36.05
North Sister Field,44.17,-121.77
North Vate,-17.45,168.33
Northern EPR-Segment RO3,15.833,-105.433
Nosy-Be,-13.32,48.48
Novarupta,58.27,-155.16
Nuevo Mundo,-19.783,-66.483
Numazawa,37.43,139.58
Nunivak Island,60.02,-166.33
Nyambeni Hills,0.23,37.87
Nyamuragira,-1.408,29.2
Nyiragongo,-1.52,29.25
Ofu-Olosega,-14.175,-169.618
"Ojos del Salado, Nevados",-27.12,-68.53
Oka Volc Field,52.7,98.98
Okataina,-38.12,176.5
Oki-Dogo,36.17,133.33
Okmok,53.42,-168.13
Oku Volc Field,6.25,10.5
Ol Kokwe,0.63,36.08
Olca-Paruma,-20.93,-68.48
Olkaria,-0.904,36.292
Olkoviy,52.077,157.477
Ollague,-21.3,-68.18
Olot Volc Field,42.17,2.53
Omachi Seamount,29.22,140.8
Omanago Group,36.78,139.5
On-take,35.9,137.48
Opala,52.543,157.335
Oraefajokull,64,-16.65
"Orizaba, Pico de",19.03,-97.268
Ormus Islands,26,57
Orosi,10.98,-85.473
Oshima,34.73,139.38
Oshima-Oshima,41.5,139.37
Osore-yama,41.32,141.08
Osorno,-41.1,-72.493
Ostanets,52.146,157.322
Ostry,58.18,160.82
Otdelniy,52.22,157.428
"Overo, Cerro",-23.35,-67.67
Ozernoy,51.88,157.38
Pacaya,14.381,-90.601
Paco,9.593,125.52
Pagan,18.13,145.8
Pago,-5.58,150.52
Paka,0.92,36.18
Palei-Aike Volc Field,-52,-70
Palena Volc Group,-43.68,-72.5
Palinuro,39.483,14.833
Palomo,-34.608,-70.295
Paluweh,-8.32,121.708
Pampa Luxsar,-20.85,-68.2
Pantelleria,36.77,12.02
"Pantoja, Cerro",-40.77,-71.95
Papandayan,-7.32,107.73
Papayo,19.308,-98.7
Paricutin Volcanic Field,19.48,-102.25
Parker,6.12,124.892
Patah,-4.27,103.3
"Patates, Morne",15.22,-61.37
Patilla Pata,-18.05,-69.03
Patoc,17.147,120.98
Patuha,-7.15,107.37
Paulet,-63.58,-55.77
Pavlof,55.42,-161.9
Pavlof Sister,55.45,-161.87
"Payun Matru, Cerro",-36.42,-69.2
Peinado,-26.617,-68.15
Pelee,14.82,-61.17
Penanggungan,-7.62,112.63
Pendan,-2.82,102.02
Penguin Island,-62.1,-57.93
Perbakti,-6.75,106.68
Petacas,1.57,-76.78
Peter I Island,-68.85,-90.58
Peuet Sague,4.914,96.329
Pico,38.47,-28.4
Piip,55.42,167.33
"Pilas, Las",12.495,-86.688
"Pina, Cerro",-19.492,-68.65
Pinacate,31.772,-113.498
Pinatubo,15.13,120.35
Pinta,0.58,-90.75
Piparo,10,-61
Piratkovsky,52.113,157.849
Planchon-Peteroa,-35.24,-70.57
Platanar,10.3,-84.366
"Pleiades, The",-72.67,165.5
Plosky,55.2,158.47
Plosky,57.83,160.25
Plosky Volc Group,52.02,157.53
Poas,10.2,-84.233
Pocdol Mountains,13.05,123.958
Poco Leok,-8.68,120.48
Pogranychny,56.85,159.8
Popa,20.87,95.23
Popocatepetl,19.023,-98.622
Porak,40.017,45.783
"Possession, Ile de la",-46.42,51.63
Prestahnukur,64.6,-20.58
Prevo Peak,47.02,152.12
"Prieto, Cerro",32.418,-115.305
Prince Edward Island,-46.63,37.95
Protector Shoal,-55.92,-28.08
Puesto Cortaderas,-37.55,-69.62
Puesto Cortaderas,-37.567,-69.617
Pular,-24.18,-68.05
Pululagua,0.038,-78.463
Puntiagudo-Cordon Cenizo,-40.969,-72.264
Purace,2.32,-76.4
Purico Complex,-23,-67.75
Putana,-22.57,-67.87
Puyehue,-40.59,-72.117
Puyuhuapi,-44.3,-72.53
Qal'eh Hasan Ali,29.4,57.57
Qualibou,13.83,-61.05
Quetrupillan,-39.5,-71.7
Quezaltepeque,14.65,-89.35
"Quill, The",17.48,-62.95
Quilotoa,-0.85,-78.9
Quimsachata,-14.37,-71.17
Rabaul,-4.271,152.203
Ragang,7.67,124.5
"Rahah, Harrat ar",27.8,36.17
"Rahat, Harrat",23.08,39.78
Raikoke,48.292,153.25
Rainier,46.87,-121.758
Rajabasa,-5.78,105.625
Ranakah,-8.62,120.52
Ranau,-4.83,103.92
Raoul Island,-29.27,-177.92
Rasshua,47.77,153.02
Raung,-8.125,114.042
Rausu,44.073,145.125
Recheschnoi,53.15,-168.55
Reclus,-50.98,-73.7
Red Cones,37.58,-119.05
Redoubt,60.48,-152.75
Reporoa,-38.42,176.33
"Resago, Volcan",-36.45,-70.92
Reventador,-0.078,-77.656
Reykjanes,63.88,-22.5
Reykjaneshryggur,63.67,-23.33
Rincon de la Vieja,10.83,-85.324
Rinjani,-8.42,116.47
Risco Plateado,-34.933,-70
Rishiri,45.18,141.25
Ritter Island,-5.52,148.121
Robinson Crusoe,-33.658,-78.85
Robledo,-26.767,-67.717
Rocard,-17.642,-148.6
Romanovka,55.65,158.8
Rota,12.55,-86.75
Roundtop,54.8,-163.6
Royal Society Range,-78.25,163.6
Ruang,2.28,125.425
Ruapehu,-39.28,175.57
Ruby,15.617,145.567
Ruby,15.62,145.57
Ruby Mountain,59.68,-133.32
Rudakov,45.88,149.83
Ruiz,4.895,-75.322
Rumble II West,-35.353,178.527
Rumble III,-35.745,178.478
Rumble IV,-36.13,178.05
Rumble V,-36.139,178.197
Rungwe,-9.13,33.67
Río Murta,-46.167,-72.667
SW Usangu Basin,-8.75,33.8
Saba,17.63,-63.23
Sabalan,38.25,47.917
Sabancaya,-15.783,-71.85
Sabancaya,-15.78,-71.85
Sahand,37.75,46.433
Sairecabur,-22.73,-67.88
Sakar,-5.414,148.094
Sakura-jima,31.58,130.67
Salak,-6.72,106.73
San Borja Volc Field,28.5,-113.75
San Carlos,3.35,8.52
San Cristobal,-0.88,-89.5
San Cristobal,12.702,-87.004
San Diego,14.27,-89.48
San Felix,-26.27,-80.12
San Joaquin,3.35,8.63
San Jorge,38.65,-28.08
San Jose,-33.782,-69.897
"San Luis, Isla",29.814,-114.384
San Marcelino,13.853,-89.63
San Martin,18.572,-95.169
San Miguel,13.431,-88.272
San Pedro,-21.88,-68.4
San Pedro-Pellado,-35.989,-70.849
San Quintin Volc Field,30.468,-115.996
San Salvador,13.736,-89.286
San Vicente,13.623,-88.852
Sanbe,35.13,132.62
Sand Mountain Field,44.38,-121.93
Sanford,62.22,-144.13
Sanganguey,21.45,-104.73
Sangangüey,21.45,-104.733
Sangay,-2.03,-78.33
Sangeang Api,-8.18,119.058
"Sano, Wai",-8.68,120.025
Santa Ana,13.853,-89.63
Santa Clara,37.257,-113.625
Santa Cruz,-0.62,-90.33
Santa Isabel,3.58,8.75
Santa Isabel,4.82,-75.37
Santa Maria,14.756,-91.552
Santiago,-0.22,-90.77
"Santiago, Cerro",14.33,-89.87
Santo Antao,17.07,-25.17
Santo Tomas,16.33,120.55
Santorini,36.404,25.396
Sao Tome,0.32,6.72
Sarigan,16.708,145.783
Sarigan,16.708,145.78
Sarik-Gajah,0.08,100.2
Sarychev Peak,48.092,153.2
Satah Mountain,52.47,-124.7
Savai'i,-13.612,-172.525
Savo,-9.13,159.82
"Sawad, Harra Es-",13.58,46.12
Schmidt,54.917,160.633
Seal Nunataks Group,-65.03,-60.05
Seamount X,13.25,144.017
Sedankinsky,57.23,160.08
Segererua Plateau,1.57,37.9
Seguam,52.32,-172.52
Segula,52.02,178.13
Sekincau Belirang,-5.12,104.32
Semeru,-8.108,112.92
Semisopochnoi,51.95,179.62
Sempu,1.142,124.73
Serdan-Oriental,19.27,-97.47
Sergief,52.03,-174.93
Serua,-6.3,130
Sessagara,-9.48,149.13
Sete Cidades,37.87,-25.78
Seulawah Agam,5.448,95.658
Severny,58.28,160.87
Shala,7.47,38.55
Sharat Kovakab,36.53,40.85
Shasta,41.42,-122.2
Shiga,36.7,138.52
Shikaribetsu Group,43.28,143.08
Shikotsu,42.7,141.33
Shiretoko-Iwo-zan,44.13,145.17
Shirinki,50.2,154.98
Shishaldin,54.75,-163.97
Shisheika,57.15,161.083
Shishel,57.45,160.37
Shiveluch,56.653,161.36
Shoshone Lava Field,43.07,-114.43
Sibayak,3.2,98.52
Sibualbuali,1.556,99.255
Silali,1.15,36.23
Silay,10.77,123.23
Silverthrone,51.43,-126.3
Simbo,-8.292,156.52
Sinabung,3.17,98.392
Sinarka,48.875,154.175
Singu Plateau,22.7,95.98
"Singuil, Cerro",14.03,-89.7
Siple,-73.43,-126.67
Sirung,-8.51,124.148
Slamet,-7.242,109.208
Smirnov,44.43,146.13
Smith Rock,31.32,140.05
Smith Volcano,19.523,121.94
Snaefellsjokull,64.8,-23.78
Snegovoy,58.2,160.97
Snezhniy,58.02,160.75
Snowy,58.33,-154.68
Soche,0.552,-77.58
Socompa,-24.4,-68.25
Socorro,18.78,-110.95
Sodore,8.43,39.35
Sollipulli,-38.97,-71.52
Soputan,1.108,124.725
Sorikmarapi,0.686,99.539
Sorkale,13.18,41.725
Sotara,2.12,-76.58
Soufriere Guadeloupe,16.05,-61.67
Soufriere Hills,16.72,-62.18
Soufriere St. Vincent,13.33,-61.18
South Island,2.63,36.6
South Sister,44.1,-121.77
Southern EPR-Segment I,-18.533,-113.417
Southern EPR-Segment J,-18.175,-113.35
Southern EPR-Segment K,-17.436,-113.206
Southern Sikhote-Alin,44.5,135.5
Spectrum Range,57.43,-130.68
Spokoiny,58.133,160.817
Spurr,61.3,-152.25
Squaw Ridge Field,43.472,-120.754
Srednii,47.6,152.92
St. Andrew Strait,-2.38,147.35
St. Catherine,12.15,-61.67
St. Helens,46.2,-122.18
St. Michael,63.45,-162.12
St. Paul,-38.72,77.53
Steamboat Springs,39.375,-119.72
Steller,58.43,-154.4
Stepovak Bay 3,55.929,-160.002
Stepovak Bay 4,55.954,-159.954
Stromboli,38.789,15.213
Sturge Island,-67.4,164.83
Suchitan Volc Field,14.4,-89.78
Sukaria Caldera,-8.792,121.77
Sumaco,-0.538,-77.626
Sumbing,-2.414,101.728
Sumbing,-7.38,110.058
Sumiyoshi-ike,31.768,130.594
Sundoro,-7.3,109.992
Sunset Crater,35.37,-111.5
Suoh,-5.25,104.27
Suphan Dagi,38.92,42.82
Supply Reef,20.13,145.1
Suretamatai,-13.8,167.47
Suswa,-1.175,36.35
Suwanose-jima,29.53,129.72
Ta'u,-14.23,-169.454
Taal,14.002,120.993
Taburete,13.435,-88.532
Tacana,15.13,-92.112
Tacora,-17.72,-69.77
Taftan,28.6,61.6
Tafu-Maka,-15.367,-174.233
Tahalra Volc Field,22.667,5
Tahual,14.433,-89.9
"Tair, Jebel at",15.7,41.742
Tajumulco,15.034,-91.903
Takahara,36.9,139.78
Takahe,-76.28,-112.08
Takawangha,51.87,-178.02
Takuan Group,-6.442,155.608
Talagabodas,-7.208,108.07
Talakmau,0.079,99.98
Talang,-0.978,100.679
Tambora,-8.25,118
Tampomas,-6.77,107.95
Tana,52.833,-169.767
Tanaga,51.88,-178.13
Tandikat,-0.433,100.317
Tangaroa,-36.321,178.028
Tangkubanparahu,-6.77,107.6
Tao-Rusyr Caldera,49.35,154.7
"Tara, Batu",-7.792,123.579
Tarakan,1.78,127.792
Taryatu-Chulutu,48.17,99.7
Tat Ali,13.28,41.07
Tate-yama,36.57,137.6
Tateshina,36.1,138.3
Tatun Group,25.17,121.52
Taunshits,54.53,159.8
Taupo,-38.82,176
Taveuni,-16.82,-179.97
Tavui,-4.117,152.2
Teahitia,-17.57,-148.85
Tecapa,13.494,-88.502
Tecuamburro,14.156,-90.407
Telica,12.602,-86.845
Telomoyo,-7.37,110.4
"Telong, Bur Ni",4.77,96.808
Tenduruk Dagi,39.33,43.83
Tenerife,28.271,-16.641
Tengchong,25.32,98.47
Tengger Caldera,-7.942,112.95
Tenorio,10.673,-85.015
Teon,-6.92,129.125
Tepi,7.42,35.43
Terceira,38.73,-27.32
Terpuk,57.2,159.833
Theistareykjarbunga,65.88,-16.83
Thompson Island,-53.93,5.5
Thordarhyrna,62.27,-17.6
Thule Islands,-59.45,-27.37
Tianshan Volc Group,42.5,82.5
Tiatia,44.358,146.27
Ticsani,-16.755,-70.595
Tidore,0.65,127.4
Tigalalu,0.07,127.42
"Tigre, El",13.467,-88.433
"Tigre, Isla El",13.27,-87.63
Tin Zaouatene Volc Field,19.833,2.833
Tinakula,-10.38,165.8
Tindfjallajokull,63.78,-19.57
Tinguiririca,-34.814,-70.352
Tipas,-27.2,-68.55
Tipas,-27.2,-68.55
Titila,57.4,160.1
Tjornes Fracture Zone,66.3,-17.1
Tlevak Strait-Suemez Is.,55.25,-133.3
To-shima,34.52,139.28
Toba,2.58,98.83
Tobaru,1.625,127.675
Todoko-Ranu,1.22,127.43
Todra Volc Field,17.683,8.5
Tofua,-19.75,-175.07
"Toh, Tarso",21.333,16.333
Tokachi,43.42,142.68
Tolbachik,55.83,160.33
Tolguaca,-38.31,-71.645
Tolguaca,-38.31,-71.645
Tolima,4.67,-75.33
Toliman,14.612,-91.189
Tolmachev Dol,52.63,157.58
"Toluca, Nevado de",19.108,-99.758
Tombel Graben,4.75,9.667
Tondano Caldera,1.23,124.83
Toney Mountain,-75.8,-115.83
Tongariro,-39.13,175.642
Tongkoko,1.52,125.2
Tore,-5.83,154.93
Torfajokull,63.92,-19.17
Tori-shima,30.48,140.32
Toroeng Prong,14.93,108
"Tortuga, Isla",27.392,-111.858
Tosa Sucha,5.92,37.57
"Tousside, Tarso",21.03,16.45
Towada,40.47,140.92
Traitor's Head,-18.75,169.23
Tres Virgenes,27.47,-112.591
Tri Sestry,45.93,149.92
Trident,58.23,-155.08
Trindade,-20.514,-29.331
Tristan da Cunha,-37.092,-12.28
Trocon,-37.733,-70.9
Trollagigar,64.43,-18.13
Tromen,-37.142,-70.03
Tronador,-41.157,-71.885
Tseax River Cone,55.12,-128.9
Tshibinda,-2.32,28.75
Tskhouk-Karckar,39.733,46.017
Tsurumi,33.28,131.43
"Tujle, Cerro",-23.83,-67.95
Tulabug,-1.78,-78.613
Tullu Moje,8.158,39.13
Tumble Buttes,40.68,-121.55
Tundroviy,52.25,157.6
Tungnafellsjokull,64.73,-17.92
Tungurahua,-1.467,-78.442
Tunkin Depression,51.5,102.5
Tupungatito,-33.4,-69.8
Turfan,42.9,89.25
Turrialba,10.03,-83.77
Tutuila,-14.295,-170.7
Tutupaca,-17.025,-70.358
Tuya Volc Field,59.367,-130.583
"Tuzgle, Cerro",-24.05,-66.483
Tuzovsky,57.32,159.97
Twin Buttes,40.78,-121.6
Ubehebe Craters,37.02,-117.45
Ubinas,-16.355,-70.903
Udina,55.755,160.527
Udokan Volc Field,56.18,117.47
Ugashik-Peulik,57.75,-156.37
Uinkaret Field,36.38,-113.13
Uka,57.7,160.58
Ukinrek Maars,57.83,-156.52
Uksichan,56.08,158.38
Ulawun,-5.05,151.33
Uliaga,53.07,-169.77
Ulreung,37.5,130.87
Ulug-Arginsky,52.33,98
Umboi,-5.589,147.875
"Umm Arafieb, Jebel",18.17,33.83
Ungaran,-7.18,110.33
Unnamed,37.78,-25.67
Unnamed,23.58,-163.83
Unnamed,28,-115
Unnamed,26.13,144.48
Unnamed,-4.75,150.85
Unnamed,55.92,161.75
Unnamed,21.75,-158.75
Unnamed,21,142.9
Unnamed,20.33,121.75
Unnamed,-4.311,146.256
Unnamed,31.75,-124.25
Unnamed,46.47,151.28
Unnamed,-8.63,33.57
Unnamed,55.93,-160
Unnamed,35.85,91.7
Unnamed,52.88,158.3
Unnamed,46.1,150.5
Unnamed,45.03,147.208
Unnamed,-16.992,168.592
Unnamed,20.3,143.2
Unnamed,51.6,156.55
Unnamed,57.87,-155.42
Unnamed,11.75,80.75
Unnamed,12.25,45
Unnamed,52.92,158.52
Unnamed,-3.03,147.78
Unnamed,28.17,60.67
Unnamed,24,121.83
Unnamed,32.658,36.425
Unnamed,19.17,132.25
Unnamed,33.308,36.925
Unnamed,36.67,37
Unnamed,52.57,157.02
Unnamed,52.33,157.33
Unnamed,-29.18,-177.87
Unnamed,-14.23,-169.07
Unnamed,25.42,122.33
Unnamed,-21.07,-175.33
Unnamed,52,-173.5
Unnamed,-33.622,-78.78
Unnamed,16.13,-61.28
Unnamed,66,-27.75
Unnamed,49,-34.5
Unnamed,48.08,153.33
Unnamed,-5.2,148.57
Unnamed,33.15,36.258
Unnamed,-21.38,-175.65
Unnamed,3.97,124.17
Unnamed,56.82,158.95
Unnamed,-53.9,-140.3
Unnamed,-25.78,168.63
Unnamed,-8.92,158.03
Unnamed,9.82,-104.3
Unnamed,21.83,121.18
Unnamed,20.93,134.75
Unnamed,-20.85,-175.53
Unnamed,39.25,45.167
Unnamed,-24.8,-177.017
Unnamed,-21.15,-175.75
Unnamed,-18.325,-174.365
Unnamed,26.133,144.483
Unnamed,21,142.9
Unnamed,20.3,143.2
Unnamed,31.75,-124.25
Unnamed,10.733,-103.583
Unnamed,9.833,-104.3
Unnamed,-8.267,-107.95
Unnamed,-53.9,-140.3
Unnamed,-55.967,-143.167
Unnamed,-25.1,-68.267
Unnamed,85.583,85
Unnamed,42.45,44.25
Unnamed,7,-21.83
Unnamed,8.62,38.95
Unnamed,-0.58,-15.83
Unnamed,-73.45,164.58
Unnamed,8.7,39.63
Unnamed,-76.83,163
Unnamed,8.07,39.07
Unnamed,7.95,38.93
Unnamed,-3.5,-24.5
Unnamed,4.2,-21.45
Unnamed,41.55,43.6
Unnamed,5.65,37.67
Unnamed,-33.62,-76.83
Unnamed,88.27,-65.6
Unnamed,38.75,-38.08
Unnamed,39.95,-25.83
Unzen,32.75,130.3
Upolu,-13.935,-171.72
Urataman,47.12,152.23
Ushishur,47.52,152.8
Ushkovsky,56.105,160.47
Usu,42.53,140.83
Usulutan,13.419,-88.471
Utila Island,16.1,-86.9
"Uwayrid, Harrat",27.08,37.25
Uzon,54.5,159.97
Vakak Group,34.25,67.97
"Valle, El",8.583,-80.167
Veniaminof,56.17,-159.38
Verkhovoy,56.52,159.53
Vernadskii Ridge,50.55,155.97
Vestmannaeyjar,63.43,-20.28
Vesuvius,40.821,14.426
Veteran,9.83,109.05
Victory,-9.2,149.07
"Viedma, Volcan",-49.358,-73.28
Villarrica,-39.42,-71.93
Vilyuchik,52.68,158.3
Visoke,-1.47,29.492
"Volcanico, Cerro",-42.07,-71.65
Volcano W,-31.85,-179.183
"Voon, Tarso",20.92,17.28
Voyampolsky,58.37,160.62
Vsevidof,53.13,-168.68
Vulcano,38.404,14.962
Vulsini,42.6,11.93
Waesche,-77.17,-126.88
Waiowa,-9.57,149.075
Wallis Islands,-13.3,-176.17
Walo,-5.53,150.9
Wapi Lava Field,42.88,-113.22
Washiba-Kumonotaira,36.4,137.5
"Watt, Morne",15.307,-61.305
Wau-en-Namus,25.05,17.55
Wayang-Windu,-7.208,107.63
Wells Gray-Clearwater,52.33,-120.57
West Crater,45.88,-122.08
West Eifel Volc Field,50.17,6.85
West Mata,-15.1,-173.75
Westdahl,54.52,-164.65
Whangarei,-35.75,174.27
White Island,-37.52,177.18
Wilis,-7.808,111.758
"Wolf, Volcan",0.02,-91.35
Wrangell,62,-144.02
Wudalianchi,48.72,126.12
Wurlali,-7.125,128.675
Xianjindao,41.33,128
Yake-dake,36.22,137.58
Yali,36.63,27.1
Yangudi,10.58,41.042
Yantarni,57.02,-157.18
Yanteles,-43.5,-72.8
"Yanteles, Cerro",-43.42,-72.83
"Yar, Jabal",17.05,42.83
Yasur,-19.52,169.425
Yate,-41.755,-72.396
Yelia,-7.05,145.858
Yellowstone,44.43,-110.67
Yersey,-7.53,123.95
"Yojoa, Lake",14.98,-87.98
Yomba,-4.92,146.75
Yotei,42.83,140.82
Young Island,-66.42,162.45
Yucamane,-17.18,-70.2
"Yumia, Cerro",-21.5,-67.5
Yunaska,52.63,-170.63
"Zacate Grande, Isla",13.33,-87.63
Zao,38.15,140.45
Zaozerny,56.88,159.95
Zapatera,11.73,-85.82
Zavaritsky,53.905,158.385
Zavaritsky,53.905,158.385
Zavaritzki Caldera,46.925,151.95
Zavodovski,-56.3,-27.57
Zengyu,26.18,122.458
Zheltovsky,51.57,157.323
Zhupanovsky,53.59,159.147
Zimina,55.862,160.603
"Zubair, Jebel",15.05,42.18
Zukur,14.02,42.75
Zuni-Bandera,34.8,-108
